"variable","baseline_mean_CRPS","permuted_mean_CRPS","VI_CRPS","VI_percent"
"base_cd4",97.2641543686649,223.628515276215,126.36436090755,129.918736997995
"base_VL",97.2641543686649,103.989728896241,6.72557452757566,6.91475145312362
"site",97.2641543686649,102.001247522544,4.73709315387954,4.8703380856264
"prior_aids",97.2641543686649,101.388965864392,4.12481149572702,4.24083417215817
"age_art",97.2641543686649,101.203676971842,3.93952260317678,4.05033347459602
"months_to_vl",97.2641543686649,100.192943912997,2.92878954433245,3.01117052149687
"year_art",97.2641543686649,99.1689693941532,1.90481502548829,1.95839365267946
"infmode",97.2641543686649,99.0677065888484,1.80355222018345,1.85428252771042
"art_regimen",97.2641543686649,98.3543264623913,1.09017209372634,1.1208364487437
"male_y",97.2641543686649,97.6557076234791,0.391553254814156,0.402566862741676
