"variable","baseline_mean_CRPS","permuted_mean_CRPS","VI_CRPS","VI_percent"
"base_cd4",97.4017206067561,222.8758428733,125.474122266543,128.82125847974
"base_VL",97.4017206067561,104.216199198083,6.81447859132663,6.99626099916551
"site",97.4017206067561,101.900482140338,4.4987615335821,4.61877008491988
"prior_aids",97.4017206067561,101.828296388349,4.4265757815932,4.54465871241104
"age_art",97.4017206067561,101.352812991538,3.9510923847817,4.05649136398073
"months_to_vl",97.4017206067561,100.254616650302,2.85289604354567,2.92899963755649
"infmode",97.4017206067561,99.3501091825909,1.94838857583474,2.00036361133809
"year_art",97.4017206067561,99.3459943017129,1.94427369495679,1.99613896227407
"art_regimen",97.4017206067561,98.4340058045065,1.0322851977504,1.05982234330139
"male_y",97.4017206067561,97.8665324048232,0.464811798067103,0.477211075093536
