"Model","ntrain","node","qt10_RMSE","qt10_bias","qt10_pinball","qt50_RMSE","qt50_bias","qt50_pinball","qt90_RMSE","qt90_bias","qt90_pinball","mean_RMSE","mean_bias","prob_RMSE","prob_bias","prob_brier","CRPS_mean","CRPS_med","CvM_mean","covg_rate","covgwid_med","nonexc10","nonexc90","time"
"SSE",1000,60,0.286736825432393,0.0211658788883791,0.182874836509565,0.253446897960692,-0.00941214171074479,0.411008848516134,0.287405683350946,-0.0309700978526621,0.183122372926371,0.237867987651231,0.000431950380510931,0.0776478971944449,-0.000516129350056418,0.156667392453193,0.583566131448232,0.421702815395757,0.434535145264751,0.773526,2.50351492636561,0.112159,0.885685,0.00378999999999905
"Wilcoxon",1000,60,0.286209472330701,0.021921336811487,0.182722378288123,0.264453864459395,-0.00944190171106164,0.412034318246561,0.286680903887593,-0.032571468474299,0.183259315103411,0.241831708011484,0.000155195131763226,0.0799319201219076,-0.000330169561686666,0.157012314710837,0.584500430156362,0.422194879702113,0.445734194260256,0.773313,2.50064404302905,0.112349,0.885662,0.00509000000000492
"Pinball",1000,60,0.367557543957626,-0.00540582982007052,0.187309024553032,0.333557505371789,-0.00354823751801706,0.418634839499441,0.368512081132892,0.0060262932791798,0.187335931770926,0.315436951103682,0.00501851061309392,0.101411442729738,-0.00205477122271816,0.160980951729534,0.676889912227845,0.493137577997543,0.377131893414123,0.776639,2.558461760095,0.111475,0.888114,0.0219000000000071
"CPM-probit",1000,60,0.250320237892874,0.0264201211894488,0.181061136127657,0.244003771955069,0.00286616655247836,0.410047627773953,0.250019609001182,-0.0180184341933198,0.181404007413556,0.241517966031095,0.00280396010760909,0.0728593862089786,-0.000947114895048628,0.155966239865328,0.57921054339626,0.415803211327914,0.361428901954782,0.77962,2.51761359729508,0.11092,0.89054,0.10633000000001
"CPM-logit",1000,60,0.255890887591441,0.0463187107332544,0.181417375558653,0.250930105983607,0.00226176506163211,0.410697520355988,0.254231515404688,-0.0366263760098105,0.181724575059444,0.245028644840432,0.003247794292459,0.0750935137818598,-0.000857844327728025,0.156287010803782,0.580402938525467,0.417456895262369,0.533620051089838,0.772172,2.4893217731344,0.11474,0.886912,0.103090000000012
"SSE",2000,120,0.201836889283479,0.00946749097274705,0.17920044282692,0.179139465928791,-0.00406900954115851,0.405205035605606,0.202423031051685,-0.0134999595547758,0.179331666476518,0.16735342640739,0.000113368708562967,0.0542814121702728,-9.54956430188053e-05,0.153360026795882,0.574065730743399,0.415101450228412,0.27370988152622,0.787147,2.53789624331596,0.105976,0.893123,0.00434999999998399
"Wilcoxon",2000,120,0.199515149273023,0.00984196585346873,0.179095143030982,0.186165190177813,-0.00374045848147431,0.405753569961423,0.199289125782523,-0.0149184706247111,0.179307430448326,0.168396886953413,0.000142290344561799,0.0554920950677287,-9.3677771863913e-05,0.153538016053002,0.574486673642118,0.415333760675647,0.277540163356159,0.787009,2.53586797345091,0.105965,0.892974,0.00768000000002576
"Pinball",2000,120,0.314447588773909,-0.0148631656828775,0.184082875779474,0.292793418138538,0.000538187729458969,0.414377258709532,0.317217620579465,0.0213563121957902,0.184454915377434,0.281513093022098,0.00563570546558681,0.0885320574976475,-0.00207985864367914,0.158496663790547,0.671453795373788,0.489272674940566,0.27419814759946,0.787429,2.59069636178718,0.10663,0.894059,0.0337299999999577
"CPM-probit",2000,120,0.173844593929609,0.0144038203270715,0.17818119620308,0.170154591975207,0.00122572293079987,0.404649792416955,0.173415509802424,-0.00998618237058059,0.178371027952798,0.168293726532131,0.00162819353505351,0.0505515006261289,-0.00045606507947088,0.153022804465774,0.57181417029251,0.412079860677825,0.241028385352024,0.789547,2.53842901591727,0.105533,0.89508,0.659229999999945
"CPM-logit",2000,120,0.179509960176225,0.0325095664514291,0.17839733791296,0.175407685343927,0.00105701265872421,0.404984905514092,0.178234352914028,-0.0257938213408514,0.178563570249502,0.171273970822191,0.00261162315323291,0.0524380944586463,-0.00049580142462759,0.153216941638633,0.572556382483517,0.413013399608617,0.358652568647373,0.783143,2.51486031095692,0.108905,0.892048,0.74542
